date,price,xuat_khau
2009-07-29,25100.0,1.429287305
2009-07-30,25100.0,1.429287305
2009-07-31,25200.0,1.429287305
2009-08-01,25200.0,1.431386729
2009-08-02,25200.0,1.431386729
2009-08-03,25700.0,1.431386729
2009-08-04,26000.0,1.431386729
2009-08-05,26000.0,1.431386729
2009-08-06,25600.0,1.431386729
2009-08-07,25600.0,1.431386729
2009-08-08,25600.0,1.431386729
2009-08-09,25600.0,1.431386729
2009-08-10,25350.0,1.431386729
2009-08-11,25100.0,1.431386729
2009-08-12,25000.0,1.431386729
2009-08-13,25100.0,1.431386729
2009-08-14,24900.0,1.431386729
2009-08-15,24900.0,1.431386729
2009-08-16,24900.0,1.431386729
2009-08-17,24250.0,1.431386729
2009-08-18,23500.0,1.431386729
2009-08-19,23500.0,1.431386729
2009-08-20,24200.0,1.431386729
2009-08-21,23400.0,1.431386729
2009-08-22,23400.0,1.431386729
2009-08-23,23400.0,1.431386729
2009-08-24,23000.0,1.431386729
2009-08-25,22800.0,1.431386729
2009-08-26,23000.0,1.431386729
2009-08-27,24200.0,1.431386729
2009-08-28,24200.0,1.431386729
2009-08-29,24200.0,1.431386729
2009-08-30,24200.0,1.431386729
2009-08-31,24300.0,1.431386729
2009-09-01,24300.0,1.459619952
2009-09-02,24300.0,1.459619952
2009-09-03,24500.0,1.459619952
2009-09-04,24500.0,1.459619952
2009-09-05,24500.0,1.459619952
2009-09-06,24500.0,1.459619952
2009-09-07,25000.0,1.459619952
2009-09-08,25400.0,1.459619952
2009-09-09,25400.0,1.459619952
2009-09-10,25400.0,1.459619952
2009-09-11,25300.0,1.459619952
2009-09-12,25300.0,1.459619952
2009-09-13,25300.0,1.459619952
2009-09-14,25300.0,1.459619952
2009-09-15,25600.0,1.459619952
2009-09-16,25600.0,1.459619952
2009-09-17,25700.0,1.459619952
2009-09-18,25800.0,1.459619952
2009-09-19,25800.0,1.459619952
2009-09-20,25800.0,1.459619952
2009-09-21,25600.0,1.459619952
2009-09-22,25000.0,1.459619952
2009-09-23,25200.0,1.459619952
2009-09-24,25000.0,1.459619952
2009-09-25,23400.0,1.459619952
2009-09-26,23400.0,1.459619952
2009-09-27,23400.0,1.459619952
2009-09-28,23400.0,1.459619952
2009-09-29,23800.0,1.459619952
2009-09-30,24100.0,1.459619952
2009-10-01,24000.0,1.443827271
2009-10-02,23600.0,1.443827271
2009-10-03,23600.0,1.443827271
2009-10-04,23600.0,1.443827271
2009-10-05,23950.0,1.443827271
2009-10-06,23850.0,1.443827271
2009-10-07,24550.0,1.443827271
2009-10-08,24900.0,1.443827271
2009-10-09,25350.0,1.443827271
2009-10-10,25100.0,1.443827271
2009-10-11,25100.0,1.443827271
2009-10-12,25200.0,1.443827271
2009-10-13,25200.0,1.443827271
2009-10-14,24400.0,1.443827271
2009-10-15,24600.0,1.443827271
2009-10-16,24600.0,1.443827271
2009-10-17,25200.0,1.443827271
2009-10-18,25200.0,1.443827271
2009-10-19,24500.0,1.443827271
2009-10-20,24850.0,1.443827271
2009-10-21,24700.0,1.443827271
2009-10-22,24800.0,1.443827271
2009-10-23,24700.0,1.443827271
2009-10-24,24300.0,1.443827271
2009-10-25,24300.0,1.443827271
2009-10-26,24000.0,1.443827271
2009-10-27,24200.0,1.443827271
2009-10-28,24500.0,1.443827271
2009-10-29,24700.0,1.443827271
2009-10-30,24900.0,1.443827271
2009-10-31,24700.0,1.443827271
2009-11-01,24700.0,1.408490682
2009-11-02,24600.0,1.408490682
2009-11-03,25100.0,1.408490682
2009-11-04,24800.0,1.408490682
2009-11-05,24700.0,1.408490682
2009-11-06,24700.0,1.408490682
2009-11-07,24600.0,1.408490682
2009-11-08,24600.0,1.408490682
2009-11-09,24700.0,1.408490682
2009-11-10,24150.0,1.408490682
2009-11-11,23050.0,1.408490682
2009-11-12,23400.0,1.408490682
2009-11-13,23150.0,1.408490682
2009-11-14,23200.0,1.408490682
2009-11-15,23200.0,1.408490682
2009-11-16,23000.0,1.408490682
2009-11-17,23650.0,1.408490682
2009-11-18,23750.0,1.408490682
2009-11-19,24100.0,1.408490682
2009-11-20,24000.0,1.408490682
2009-11-21,24000.0,1.408490682
2009-11-22,24000.0,1.408490682
2009-11-23,24350.0,1.408490682
2009-11-24,24400.0,1.408490682
2009-11-25,24300.0,1.408490682
2009-11-26,24450.0,1.408490682
2009-11-27,24350.0,1.408490682
2009-11-28,24350.0,1.408490682
2009-11-29,24350.0,1.408490682
2009-11-30,24300.0,1.408490682
2009-12-01,24600.0,1.392495697
2009-12-02,24500.0,1.392495697
2009-12-03,24300.0,1.392495697
2009-12-04,24500.0,1.392495697
2009-12-05,24500.0,1.392495697
2009-12-06,24500.0,1.392495697
2009-12-07,24300.0,1.392495697
2009-12-08,24500.0,1.392495697
2009-12-09,24400.0,1.392495697
2009-12-10,24500.0,1.392495697
2009-12-11,24900.0,1.392495697
2009-12-12,25000.0,1.392495697
2009-12-13,25000.0,1.392495697
2009-12-14,24400.0,1.392495697
2009-12-15,24600.0,1.392495697
2009-12-16,24600.0,1.392495697
2009-12-17,24700.0,1.392495697
2009-12-18,24200.0,1.392495697
2009-12-19,24200.0,1.392495697
2009-12-20,24200.0,1.392495697
2009-12-21,24200.0,1.392495697
2009-12-22,24200.0,1.392495697
2009-12-23,23800.0,1.392495697
2009-12-24,23800.0,1.392495697
2009-12-25,23700.0,1.392495697
2009-12-26,23700.0,1.392495697
2009-12-27,23700.0,1.392495697
2009-12-28,23700.0,1.392495697
2009-12-29,23800.0,1.392495697
2009-12-30,23600.0,1.392495697
2009-12-31,23700.0,1.392495697
2010-01-01,23900.0,1.405433287
2010-01-02,23900.0,1.405433287
2010-01-03,23900.0,1.405433287
2010-01-04,23700.0,1.405433287
2010-01-05,24200.0,1.405433287
2010-01-06,24100.0,1.405433287
2010-01-07,24350.0,1.405433287
2010-01-08,24500.0,1.405433287
2010-01-09,24600.0,1.405433287
2010-01-10,24600.0,1.405433287
2010-01-11,24500.0,1.405433287
2010-01-12,24250.0,1.405433287
2010-01-13,24350.0,1.405433287
2010-01-14,24400.0,1.405433287
2010-01-15,24400.0,1.405433287
2010-01-16,24400.0,1.405433287
2010-01-17,24400.0,1.405433287
2010-01-18,24400.0,1.405433287
2010-01-19,24100.0,1.405433287
2010-01-20,24000.0,1.405433287
2010-01-21,23700.0,1.405433287
2010-01-22,23500.0,1.405433287
2010-01-23,23500.0,1.405433287
2010-01-24,23500.0,1.405433287
2010-01-25,23800.0,1.405433287
2010-01-26,23950.0,1.405433287
2010-01-27,23850.0,1.405433287
2010-01-28,23800.0,1.405433287
2010-01-29,23700.0,1.405433287
2010-01-30,23700.0,1.405433287
2010-01-31,23700.0,1.405433287
2010-02-01,23700.0,1.429512857
2010-02-02,23700.0,1.429512857
2010-02-03,23850.0,1.429512857
2010-02-04,23700.0,1.429512857
2010-02-05,23500.0,1.429512857
2010-02-06,23500.0,1.429512857
2010-02-07,23500.0,1.429512857
2010-02-08,23300.0,1.429512857
2010-02-09,23300.0,1.429512857
2010-02-10,23350.0,1.429512857
2010-02-11,23200.0,1.429512857
2010-02-12,23200.0,1.429512857
2010-02-13,23200.0,1.429512857
2010-02-14,23200.0,1.429512857
2010-02-15,23200.0,1.429512857
2010-02-16,23200.0,1.429512857
2010-02-17,23200.0,1.429512857
2010-02-18,23200.0,1.429512857
2010-02-19,23200.0,1.429512857
2010-02-20,23200.0,1.429512857
2010-02-21,23200.0,1.429512857
2010-02-22,23200.0,1.429512857
2010-02-23,22500.0,1.429512857
2010-02-24,22500.0,1.429512857
2010-02-25,22800.0,1.429512857
2010-02-26,22650.0,1.429512857
2010-02-27,23100.0,1.429512857
2010-02-28,23100.0,1.429512857
2010-03-01,23100.0,1.36998004
2010-03-02,23400.0,1.36998004
2010-03-03,23200.0,1.36998004
2010-03-04,23200.0,1.36998004
2010-03-05,22700.0,1.36998004
2010-03-06,22700.0,1.36998004
2010-03-07,22700.0,1.36998004
2010-03-08,22600.0,1.36998004
2010-03-09,22500.0,1.36998004
2010-03-10,23000.0,1.36998004
2010-03-11,22800.0,1.36998004
2010-03-12,22800.0,1.36998004
2010-03-13,22800.0,1.36998004
2010-03-14,22800.0,1.36998004
2010-03-15,22800.0,1.36998004
2010-03-16,22700.0,1.36998004
2010-03-17,22800.0,1.36998004
2010-03-18,23000.0,1.36998004
2010-03-19,23300.0,1.36998004
2010-03-20,23300.0,1.36998004
2010-03-21,23300.0,1.36998004
2010-03-22,23200.0,1.36998004
2010-03-23,23400.0,1.36998004
2010-03-24,23600.0,1.36998004
2010-03-25,23600.0,1.36998004
2010-03-26,24300.0,1.36998004
2010-03-27,24300.0,1.36998004
2010-03-28,24300.0,1.36998004
2010-03-29,24300.0,1.36998004
2010-03-30,24600.0,1.36998004
2010-03-31,24500.0,1.36998004
2010-04-01,24500.0,1.350067843
2010-04-02,24500.0,1.350067843
2010-04-03,24500.0,1.350067843
2010-04-04,24500.0,1.350067843
2010-04-05,24500.0,1.350067843
2010-04-06,24500.0,1.350067843
2010-04-07,24500.0,1.350067843
2010-04-08,24500.0,1.350067843
2010-04-09,24500.0,1.350067843
2010-04-10,24500.0,1.350067843
2010-04-11,24500.0,1.350067843
2010-04-12,24400.0,1.350067843
