date,price,tavg,tmax,pres
2017-10-09,30000,83.1,89.6,1005.3
2017-10-10,30000,85.8,93.2,1004.8
2017-10-11,30000,82.6,89.6,1006.5
2017-10-13,30000,81.1,87.8,1005.3
2017-10-16,30000,83.8,89.6,1006.6
2017-10-17,30000,79.2,89.6,1007.8
2017-10-20,30000,81.3,89.6,1009.5
2017-10-23,30000,82.2,87.8,1010.0
2017-10-30,30000,84.0,89.6,1008.3
2017-10-31,30000,82.0,89.6,1008.3
2017-11-01,30000,79.5,84.2,1008.4
2017-11-02,30000,82.2,91.4,1006.9
2017-11-03,30000,83.1,91.4,1006.2
2017-11-06,30000,83.7,91.4,1007.3
2017-11-07,30000,80.6,91.4,1007.9
2017-11-09,30000,80.2,89.6,1007.7
2017-11-10,30000,80.4,91.4,1008.2
2017-11-13,30000,81.0,89.6,1007.6
2017-11-14,30000,81.3,91.4,1008.3
2017-11-15,30000,82.8,89.6,1008.8
2017-11-16,30000,85.3,93.2,1009.0
2017-11-17,30000,84.0,93.2,1007.1
2017-11-20,30000,81.7,87.8,1008.4
2017-11-21,30000,82.9,91.4,1008.3
2017-11-22,30000,84.0,91.4,1007.4
2017-11-23,30000,84.2,93.2,1007.8
2017-11-24,30000,82.0,91.4,1009.5
2017-11-27,30000,83.1,89.6,1007.5
2017-11-28,30000,82.2,89.6,1007.6
2017-12-01,30000,83.7,93.2,1007.2
2017-12-04,30000,80.2,89.6,1007.9
2017-12-06,30000,83.1,89.6,1009.0
2017-12-07,30000,83.1,91.4,1009.3
2017-12-08,30000,81.7,93.2,1010.4
2017-12-11,30000,82.0,89.6,1011.3
2017-12-12,30000,81.7,89.6,1011.0
2017-12-13,30000,82.2,89.6,1010.5
2017-12-15,30000,81.9,89.6,1010.4
2017-12-18,30000,76.6,86.0,1012.9
2017-12-19,30000,75.9,82.4,1012.6
2017-12-21,30000,75.7,84.2,1011.5
2017-12-25,30000,71.2,78.8,1007.0
2017-12-27,30000,81.5,87.8,1009.8
2017-12-28,30000,83.5,91.4,1010.0
2017-12-29,30000,82.6,91.4,1010.4
2018-01-02,30000,80.1,89.6,1008.8
2018-01-03,30000,81.7,89.6,1007.8
2018-01-04,30000,82.9,91.4,1007.6
2018-01-09,30000,82.9,91.4,1010.8
2018-01-10,30000,81.7,91.4,1011.4
2018-01-12,30000,79.0,89.6,1011.9
2018-01-15,30000,80.1,86.0,1009.5
2018-01-17,30000,80.8,87.8,1008.5
2018-01-18,30000,79.9,89.6,1008.3
2018-01-24,30000,81.5,89.6,1006.8
2018-01-25,30000,81.1,89.6,1006.8
2018-02-28,40000,84.2,93.2,1009.0
2018-03-01,40000,83.8,93.2,1008.6
2018-03-02,40000,83.7,91.4,1008.5
2018-03-05,40000,84.7,93.2,1009.0
2018-03-06,40000,84.6,91.4,1009.5
2018-03-07,40000,85.6,98.6,1009.1
2018-03-08,40000,85.5,98.6,1009.1
2018-03-09,40000,84.0,95.0,1009.5
2018-03-13,40000,83.8,93.2,1010.4
2018-03-14,40000,83.5,93.2,1009.9
2018-03-15,40000,84.4,93.2,1010.0
2018-03-16,40000,84.0,93.2,1010.3
2018-03-19,40000,84.7,95.0,1009.5
2018-03-20,40000,84.7,95.0,1009.0
2018-03-21,40000,84.9,95.0,1009.2
2018-03-22,40000,83.1,91.4,1008.0
2018-03-23,40000,84.4,93.2,1009.1
2018-03-26,40000,84.7,95.0,1010.3
2018-03-27,40000,83.8,93.2,1010.3
2018-03-28,40000,83.1,95.0,1009.8
2018-03-29,40000,83.5,91.4,1009.9
2018-03-30,40000,83.1,91.4,1009.7
2018-04-02,40000,83.7,91.4,1009.3
2018-04-03,40000,82.9,91.4,1009.3
2018-04-04,40000,83.5,93.2,1008.5
2018-04-05,40000,84.0,89.6,1007.8
2018-04-06,40000,84.4,91.4,1008.3
2018-04-09,40000,87.6,96.8,1009.9
2018-04-10,40000,86.5,95.0,1009.3
2018-04-11,40000,86.4,95.0,1008.3
2018-04-12,40000,86.2,96.8,1008.3
2018-04-13,40000,86.2,95.0,1008.7
2018-04-16,40000,87.1,96.8,1008.9
2018-04-17,40000,86.7,96.8,1010.0
2018-04-18,40000,85.5,93.2,1009.7
2018-04-19,40000,86.0,93.2,1008.9
