date,price,tavg,tmax,pres
2010-12-24,25000.0,78.6,90.0,1011.0
2010-12-27,26000.0,78.1,87.8,1011.0
2011-01-05,25000.0,77.7,86.0,1011.0
2011-01-06,25000.0,79.0,90.1,1011.0
2011-01-10,25000.0,79.0,89.8,1011.0
2011-01-11,25000.0,76.8,86.7,1011.0
2011-01-12,25000.0,78.1,87.1,1011.0
2011-01-13,25000.0,76.8,88.3,1011.0
2011-01-14,25000.0,78.6,88.3,1011.0
2011-01-18,25000.0,73.9,86.0,1011.0
2011-01-19,25000.0,77.2,90.3,1011.0
2011-01-20,25000.0,79.0,89.6,1011.0
2011-01-21,25000.0,79.0,89.6,1011.0
2011-01-24,25000.0,75.9,84.6,1011.0
2011-01-25,25000.0,77.5,92.1,1011.0
2011-01-26,25000.0,80.1,92.1,1011.0
2011-02-08,30000.0,78.1,88.9,1011.0
2011-02-09,30000.0,78.3,92.1,1011.0
2011-02-11,30000.0,78.4,90.0,1011.0
2011-02-15,30000.0,81.3,93.7,1011.0
2011-02-16,30000.0,81.1,92.7,1011.0
2011-02-17,30000.0,81.0,93.9,1011.0
2011-02-18,25000.0,81.1,93.2,1011.0
2011-02-21,25000.0,80.8,91.4,1011.0
2011-02-23,25000.0,81.5,93.6,1011.0
2011-02-25,25000.0,81.1,92.8,1011.0
2011-02-28,25000.0,79.9,91.4,1011.0
2011-03-01,25000.0,79.0,90.3,1011.0
2011-03-02,25000.0,81.0,88.2,1011.0
2011-03-03,25000.0,82.2,95.4,1011.0
2011-03-04,25000.0,81.0,94.6,1011.0
2011-03-07,25000.0,82.6,93.6,1011.0
2011-03-09,25000.0,83.7,95.5,1011.0
2011-03-11,25000.0,83.3,97.5,1011.0
2011-03-14,25000.0,82.6,93.9,1011.0
2011-03-15,25000.0,82.8,93.9,1011.0
2011-03-16,25000.0,81.9,95.0,1011.0
2011-03-17,25000.0,79.2,88.2,1011.0
2011-03-18,20000.0,79.5,89.6,1011.0
2011-03-21,20000.0,80.6,93.9,1011.0
2011-03-23,25000.0,79.5,89.6,1011.0
2011-03-24,25000.0,77.7,85.5,1011.0
2011-03-25,25000.0,78.3,88.5,1011.0
2011-03-28,25000.0,80.6,92.5,1011.0
2011-03-29,25000.0,80.1,90.9,1011.0
2011-03-30,25000.0,79.5,88.2,1011.0
2011-03-31,20000.0,81.7,92.1,1011.0
2011-04-01,20000.0,82.2,90.7,1011.0
2011-04-04,20000.0,80.2,89.6,1011.0
2011-04-05,20000.0,81.7,94.5,1011.0
2011-04-06,20000.0,81.9,93.9,1011.0
2011-04-07,20000.0,82.6,94.6,1011.0
2011-04-08,20000.0,82.4,94.6,1011.0
2011-04-09,20000.0,83.3,94.5,1011.0
2011-04-13,20000.0,81.9,94.5,1011.0
2011-04-14,20000.0,83.1,93.2,1011.0
2011-04-15,20000.0,82.9,93.2,1011.0
2011-04-18,20000.0,81.7,97.5,1011.0
2011-04-19,20000.0,81.1,91.4,1011.0
2011-04-20,20000.0,81.3,96.3,1011.0
2011-04-21,22000.0,82.4,96.3,1011.0
2011-04-22,22000.0,82.0,92.1,1011.0
2011-04-25,22000.0,84.0,94.8,1011.0
2011-04-26,25000.0,83.8,97.3,1011.0
2011-04-27,25000.0,84.2,93.2,1011.0
2011-04-28,25000.0,84.4,93.2,1011.0
2011-04-29,25000.0,83.5,94.5,1011.0
2011-05-04,27000.0,84.0,92.7,1011.0
2011-05-05,27000.0,83.3,96.3,1011.0
2011-05-09,27000.0,86.0,96.3,1011.0
2011-05-10,27000.0,83.8,93.2,1011.0
2011-05-11,27000.0,83.7,93.6,1011.0
2011-05-12,27000.0,81.1,93.2,1011.0
2011-05-13,27000.0,82.9,94.6,1011.0
2011-05-17,27000.0,83.8,93.6,1011.0
2011-05-18,27000.0,78.4,90.3,1011.0
2011-05-19,27000.0,82.8,93.2,1011.0
2011-05-20,25000.0,83.8,94.3,1011.0
2011-05-23,25000.0,84.7,93.2,1011.0
2011-05-24,25000.0,85.1,94.6,1011.0
2011-05-26,25000.0,81.1,90.3,1011.0
2011-05-27,25000.0,80.2,90.3,1011.0
2011-05-30,25000.0,78.3,89.6,1011.0
2011-05-31,25000.0,80.2,91.8,1011.0
2011-06-01,25000.0,79.5,87.8,1011.0
2011-06-02,25000.0,83.1,93.9,1011.0
2011-06-03,25000.0,83.1,94.3,1011.0
2011-06-06,25000.0,80.2,91.8,1011.0
2011-06-07,25000.0,81.0,92.7,1011.0
2011-06-08,25000.0,83.7,93.6,1011.0
2011-06-09,25000.0,83.5,92.5,1011.0
2011-06-10,25000.0,82.8,93.2,1011.0
2011-06-13,25000.0,79.9,90.7,1011.0
2011-06-14,25000.0,78.4,88.5,1011.0
2011-06-15,25000.0,80.8,92.5,1011.0
2011-06-16,25000.0,81.9,90.0,1011.0
2011-06-17,25000.0,77.9,88.5,1011.0
2011-06-20,25000.0,81.7,89.6,1011.0
2011-06-21,25000.0,81.7,90.3,1011.0
2011-06-22,23000.0,81.0,89.6,1011.0
2011-06-23,23000.0,81.1,90.0,1011.0
2011-06-24,25000.0,82.8,90.3,1011.0
2011-06-27,25000.0,82.0,94.3,1011.0
2011-06-28,25000.0,82.6,94.3,1011.0
2011-06-29,23000.0,80.8,93.9,1011.0
2011-07-01,20000.0,79.0,88.5,1011.0
2011-07-04,20000.0,79.2,93.9,1011.0
2011-07-05,20000.0,79.5,90.3,1011.0
2011-07-06,16000.0,79.2,89.6,1011.0
2011-07-07,16000.0,82.2,92.7,1011.0
2011-07-08,20000.0,82.9,92.3,1011.0
2011-07-11,14000.0,82.9,89.6,1011.0
2011-07-13,14000.0,79.7,89.6,1011.0
2011-07-15,14000.0,82.4,90.3,1011.0
2011-07-19,17000.0,84.0,93.6,1011.0
2011-07-21,17000.0,81.1,93.6,1011.0
2011-07-22,17000.0,81.3,91.9,1011.0
2011-07-25,17000.0,77.4,86.0,1011.0
2011-07-26,14000.0,79.3,90.5,1011.0
2011-07-27,17000.0,77.5,88.5,1011.0
2011-07-28,17000.0,79.3,88.5,1011.0
2011-07-29,17000.0,78.4,88.9,1011.0
2011-08-01,19000.0,80.2,90.3,1011.0
2011-08-02,16000.0,81.9,91.4,1011.0
2011-08-03,16000.0,83.5,91.4,1011.0
2011-08-04,16000.0,84.4,94.3,1011.0
2011-08-08,16000.0,83.1,94.3,1011.0
2011-08-09,16000.0,83.8,93.2,1011.0
2011-08-10,20000.0,81.3,87.8,1011.0
2011-08-11,20000.0,82.9,93.2,1011.0
