price,tavg,tmin,tmax,prcp,wdir,wspd,pres,RON 95-III
32000.0,83.8,75.2,91.4,0.268,106.0,6.5,1011.4,22.2
32000.0,84.6,77.0,93.2,0.268,104.0,5.7,1011.4,22.2
32000.0,83.8,77.0,93.2,0.268,18.0,4.0,1008.9,22.2
32000.0,81.7,73.4,89.6,0.268,11.0,4.1,1008.8,22.2
32000.0,82.2,71.6,91.4,0.268,14.0,5.0,1009.6,22.2
32000.0,83.5,73.4,91.4,0.268,144.0,5.2,1009.0,22.2
32000.0,83.1,77.0,89.6,0.268,49.0,3.6,1009.9,22.2
35000.0,86.0,77.0,95.0,0.268,44.0,3.5,1008.3,21.06
35000.0,78.8,77.0,84.2,0.268,74.0,7.8,1009.0,21.06
35000.0,83.8,77.0,91.4,0.268,84.0,7.6,1008.9,21.06
35000.0,84.0,77.0,93.2,0.268,84.0,7.3,1008.5,21.06
35000.0,85.8,77.0,95.0,0.268,88.0,6.2,1009.3,21.06
35000.0,82.2,78.8,93.2,0.268,71.0,5.6,1009.0,21.06
35000.0,82.8,78.8,91.4,0.268,99.0,4.6,1007.6,21.06
35000.0,83.3,77.0,91.4,0.268,96.0,4.6,1008.4,21.06
35000.0,84.9,77.0,93.2,0.268,102.0,5.2,1009.6,21.06
35000.0,82.8,77.0,91.4,0.268,108.0,5.8,1010.4,21.06
35000.0,82.6,75.2,87.8,0.268,89.0,8.5,1010.8,21.06
35000.0,83.8,77.0,91.4,0.268,113.0,7.4,1011.1,21.06
35000.0,84.2,77.0,93.2,0.268,79.0,4.7,1010.3,19.97
35000.0,83.8,75.2,91.4,0.268,297.0,4.5,1010.6,19.97
35000.0,83.8,77.0,91.4,0.268,347.0,7.6,1010.5,19.97
35000.0,77.4,73.4,78.8,0.268,148.0,9.0,1008.2,19.97
35000.0,82.2,75.2,89.6,0.268,134.0,6.6,1011.6,19.97
25000.0,81.1,77.0,91.4,0.268,1.0,4.0,1008.8,18.14
25000.0,82.2,77.0,91.4,0.268,255.0,3.7,1008.4,18.14
40000.0,80.6,77.0,87.8,0.268,261.0,5.0,1008.2,18.14
40000.0,78.3,75.2,82.4,0.268,334.0,3.5,1008.6,18.14
40000.0,82.0,73.4,87.8,0.268,51.0,7.6,1011.9,17.6
40000.0,84.7,77.0,93.2,0.268,92.0,12.1,1012.5,17.6
40000.0,83.8,75.2,95.0,0.268,91.0,6.7,1011.5,17.6
40000.0,81.7,73.4,89.6,0.268,84.0,4.8,1012.0,17.6
40000.0,83.3,73.4,93.2,0.268,99.0,5.3,1012.0,17.6
40000.0,83.7,78.8,91.4,0.268,75.0,4.5,1010.2,17.6
40000.0,82.0,75.2,93.2,0.268,68.0,4.3,1010.2,17.6
40000.0,82.2,73.4,93.2,0.268,66.0,5.7,1010.6,17.6
42000.0,80.4,69.8,91.4,0.268,1.0,4.6,1013.5,17.6
46000.0,84.2,78.8,96.8,0.268,88.0,9.1,1014.6,17.6
46000.0,83.7,75.2,93.2,0.268,101.0,7.3,1014.4,17.6
46000.0,84.2,73.4,95.0,0.268,108.0,8.8,1012.7,17.6
46000.0,84.0,77.0,95.0,0.268,109.0,10.0,1013.3,17.6
46000.0,83.3,77.0,93.2,0.268,144.0,9.3,1011.7,17.6
46000.0,83.5,77.0,91.4,0.268,133.0,8.4,1012.6,17.6
46000.0,84.4,77.0,93.2,0.268,132.0,8.3,1013.8,17.6
46000.0,82.9,78.8,89.6,0.268,141.0,8.8,1011.4,17.6
46000.0,84.0,78.8,95.0,0.268,128.0,10.3,1010.9,17.6
46000.0,84.0,78.8,95.0,0.268,121.0,9.1,1010.5,17.6
46000.0,83.8,78.8,93.2,0.268,132.0,9.9,1009.5,17.6
46000.0,83.5,77.0,93.2,0.268,126.0,8.9,1010.1,17.6
46000.0,81.7,77.0,89.6,0.268,150.0,7.1,1009.3,18.54
46000.0,82.4,75.2,93.2,0.268,151.0,7.5,1010.0,18.54
46000.0,83.5,75.2,95.0,0.268,151.0,6.2,1010.9,18.54
46000.0,83.8,77.0,91.4,0.268,172.0,7.0,1010.5,18.54
46000.0,84.4,78.8,93.2,0.268,147.0,7.8,1010.8,18.54
46000.0,85.8,78.8,96.8,0.268,190.0,6.8,1010.7,18.54
46000.0,84.7,80.6,93.2,0.268,168.0,7.3,1011.2,18.54
46000.0,87.1,80.6,95.0,0.268,149.0,7.5,1011.7,18.54
46000.0,84.4,80.6,93.2,0.268,142.0,8.2,1012.7,18.54
46000.0,86.5,78.8,96.8,0.268,133.0,8.6,1011.9,18.54
46000.0,87.3,78.8,98.6,0.268,129.0,8.4,1010.5,18.54
46000.0,84.9,80.6,95.0,0.268,128.0,8.8,1011.1,18.54
46000.0,86.7,78.8,96.8,0.268,125.0,9.2,1011.1,20.03
46000.0,85.8,82.4,93.2,0.268,137.0,8.1,1010.9,20.03
46000.0,84.9,77.0,91.4,0.268,125.0,6.3,1011.0,20.03
46000.0,86.2,82.4,93.2,0.268,143.0,7.7,1009.3,20.03
46000.0,87.1,80.6,95.0,0.268,145.0,7.5,1009.1,20.03
46000.0,88.0,82.4,95.0,0.268,147.0,6.0,1008.8,20.03
46000.0,87.1,82.4,95.0,0.268,165.0,6.8,1008.0,20.03
46000.0,88.0,80.6,95.0,0.268,173.0,6.8,1008.0,20.03
46000.0,88.5,82.4,96.8,0.268,158.0,6.7,1008.9,20.03
46000.0,87.4,78.8,96.8,0.268,178.0,6.6,1009.1,21.23
40000.0,87.6,84.2,95.0,0.268,166.0,7.4,1008.3,21.23
40000.0,88.9,82.4,98.6,0.268,177.0,6.4,1007.3,21.23
25000.0,88.5,82.4,96.8,0.268,141.0,7.5,1006.4,21.23
25000.0,88.9,84.2,98.6,0.268,138.0,8.7,1007.4,21.23
25000.0,88.3,84.2,96.8,0.268,143.0,8.4,1007.1,21.23
25000.0,88.0,82.4,95.0,0.268,143.0,8.2,1007.0,21.23
23000.0,84.6,77.0,95.0,0.268,176.0,6.3,1008.3,22.19
23000.0,85.8,77.0,95.0,0.268,185.0,5.3,1009.2,22.19
23000.0,88.2,80.6,96.8,0.268,183.0,6.1,1009.4,22.19
20000.0,83.5,78.8,93.2,0.268,214.0,6.2,1006.1,22.19
20000.0,81.9,75.2,91.4,0.268,241.0,5.3,1007.8,22.19
20000.0,85.8,78.8,95.0,0.268,191.0,6.1,1007.7,22.19
20000.0,85.5,80.6,93.2,0.268,165.0,5.3,1008.1,22.19
20000.0,86.7,80.6,96.8,0.268,218.0,5.0,1008.6,22.19
20000.0,88.0,78.8,95.0,0.268,246.0,6.6,1008.2,21.59
20000.0,85.3,78.8,95.0,0.268,220.0,7.1,1008.2,21.59
25000.0,84.6,80.6,95.0,0.268,218.0,6.3,1008.4,21.59
25000.0,82.6,77.0,95.0,0.268,216.0,4.8,1008.6,21.59
25000.0,86.9,78.8,95.0,0.268,143.0,5.5,1007.0,21.59
25000.0,82.2,78.8,93.2,0.268,225.0,4.2,1007.5,21.21
25000.0,83.5,77.0,95.0,0.268,104.0,3.0,1007.4,21.21
25000.0,83.3,78.8,93.2,0.268,134.0,5.2,1008.2,21.21
25000.0,82.9,75.2,89.6,0.268,192.0,4.9,1009.4,21.21
25000.0,84.6,78.8,91.4,0.268,257.0,10.0,1006.7,21.21
25000.0,85.3,80.6,91.4,0.268,257.0,8.3,1007.4,21.21
25000.0,84.0,80.6,91.4,0.268,249.0,7.8,1007.4,21.21
25000.0,82.0,80.6,87.8,0.268,243.0,8.3,1007.9,20.13
25000.0,85.1,77.0,93.2,0.268,264.0,8.0,1007.8,20.13
25000.0,86.7,78.8,95.0,0.268,290.0,7.3,1007.0,20.13
25000.0,86.7,80.6,95.0,0.268,271.0,5.7,1006.3,20.13
25000.0,83.7,78.8,95.0,0.268,271.0,5.0,1005.6,20.13
25000.0,82.2,75.2,91.4,0.268,197.0,7.1,1007.9,20.13
25000.0,84.4,78.8,93.2,0.268,233.0,5.8,1008.5,20.13
25000.0,84.4,78.8,93.2,0.268,246.0,8.6,1007.9,20.13
25000.0,85.3,78.8,91.4,0.268,253.0,10.5,1006.7,20.13
25000.0,82.9,78.8,91.4,0.268,241.0,10.7,1005.9,20.51
25000.0,78.1,75.2,82.4,0.268,245.0,10.8,1007.4,20.51
25000.0,80.2,73.4,87.8,0.268,234.0,6.6,1009.0,20.51
25000.0,83.7,77.0,91.4,0.268,260.0,6.5,1007.9,20.51
25000.0,84.7,78.8,93.2,0.268,224.0,7.6,1008.7,20.51
25000.0,86.2,78.8,93.2,0.268,248.0,8.6,1008.6,20.51
25000.0,87.3,80.6,95.0,0.268,261.0,9.0,1009.8,20.51
25000.0,86.7,80.6,93.2,0.268,248.0,8.4,1009.2,20.51
25000.0,84.7,80.6,95.0,0.268,258.0,8.3,1005.4,20.51
25000.0,79.9,75.2,87.8,0.268,247.0,5.6,1004.8,21.23
25000.0,83.5,77.0,89.6,0.268,245.0,8.9,1005.0,21.23
25000.0,82.8,78.8,89.6,0.268,244.0,9.0,1005.9,21.23
25000.0,83.1,78.8,93.2,0.268,283.0,6.1,1007.2,21.23
25000.0,83.7,77.0,93.2,0.268,279.0,6.0,1006.8,21.23
25000.0,82.8,75.2,93.2,0.268,282.0,6.5,1007.7,21.23
25000.0,79.9,75.2,89.6,0.268,271.0,6.8,1010.1,21.23
25000.0,82.6,77.0,93.2,0.268,310.0,7.0,1008.7,21.23
25000.0,80.4,73.4,91.4,0.268,249.0,7.6,1008.1,21.23
25000.0,83.7,77.0,91.4,0.268,253.0,8.6,1006.6,21.23
25000.0,82.9,75.2,93.2,0.268,252.0,10.8,1005.6,21.23
25000.0,82.6,78.8,91.4,0.268,250.0,11.7,1006.9,20.91
25000.0,79.5,77.0,86.0,0.268,246.0,11.8,1007.6,20.91
25000.0,80.8,77.0,87.8,0.268,246.0,10.9,1005.9,20.91
25000.0,78.4,75.2,86.0,0.268,257.0,9.9,1006.2,20.91
25000.0,79.5,75.2,84.2,0.268,256.0,8.1,1005.3,20.91
25000.0,79.9,75.2,86.0,0.268,250.0,10.2,1004.6,20.91
25000.0,79.5,75.2,84.2,0.268,244.0,10.8,1003.8,20.91
25000.0,84.6,78.8,93.2,0.268,232.0,8.0,1007.8,20.91
25000.0,84.2,78.8,89.6,0.268,255.0,8.5,1008.5,20.91
25000.0,85.5,78.8,93.2,0.268,260.0,8.6,1008.0,20.91
25000.0,85.3,80.6,93.2,0.268,243.0,12.0,1007.9,20.91
25000.0,83.7,78.8,91.4,0.268,218.0,11.1,1008.1,20.4
25000.0,85.6,78.8,95.0,0.268,251.0,9.1,1007.7,20.4
25000.0,83.8,78.8,91.4,0.268,231.0,9.5,1006.7,20.4
25000.0,81.9,78.8,87.8,0.268,237.0,7.6,1008.8,20.4
25000.0,83.3,77.0,91.4,0.268,251.0,8.5,1008.8,20.4
25000.0,85.6,78.8,93.2,0.268,269.0,7.3,1011.2,20.23
25000.0,85.5,78.8,93.2,0.268,300.0,7.1,1009.7,20.23
25000.0,79.5,77.0,86.0,0.268,318.0,7.0,1007.8,20.23
25000.0,80.4,75.2,87.8,0.268,231.0,6.2,1006.5,20.14
25000.0,81.5,78.8,86.0,0.268,242.0,9.4,1007.1,20.14
25000.0,78.8,77.0,84.2,0.268,236.0,9.2,1008.5,20.14
25000.0,80.8,77.0,87.8,0.268,243.0,7.5,1009.9,20.14
25000.0,81.1,77.0,87.8,0.268,243.0,4.5,1009.3,20.14
25000.0,81.3,75.2,91.4,0.268,75.0,4.0,1011.6,20.14
25000.0,85.3,75.2,91.4,0.268,75.0,3.9,1010.9,20.14
25000.0,85.5,78.8,95.0,0.268,55.0,4.5,1011.1,20.14
25000.0,81.0,73.4,93.2,0.268,55.0,2.9,1011.8,20.14
25000.0,82.2,75.2,93.2,0.268,21.0,4.5,1011.4,20.14
30000.0,81.9,75.2,89.6,0.268,198.0,3.9,1010.4,21.06
30000.0,81.3,77.0,89.6,0.268,254.0,3.5,1010.5,21.06
35000.0,84.2,73.4,89.6,0.268,88.0,4.1,1009.6,21.06
35000.0,84.7,77.0,91.4,0.268,108.0,5.5,1009.8,21.06
45000.0,82.9,75.2,91.4,0.268,79.0,3.9,1010.0,21.06
