date,price,RON 95-III
2/14/2020,31200,19.38
2/15/2020,31600,19.38
2/16/2020,31600,19.38
2/17/2020,31600,19.38
2/18/2020,31600,19.38
2/19/2020,31200,19.38
2/20/2020,31100,19.38
2/21/2020,31200,19.38
2/22/2020,31500,19.38
2/23/2020,31500,19.38
2/24/2020,31400,19.38
2/25/2020,30900,19.38
2/26/2020,31400,19.38
2/27/2020,31700,19.38
2/28/2020,31600,19.38
2/29/2020,31500,19.12
3/1/2020,31500,19.12
3/2/2020,31350,19.12
3/3/2020,31700,19.12
3/4/2020,32400,19.12
3/5/2020,31900,19.12
3/6/2020,31000,19.12
3/7/2020,30800,19.12
3/8/2020,30800,19.12
3/9/2020,30800,19.12
3/10/2020,30800,19.12
3/11/2020,31400,19.12
3/12/2020,31200,19.12
3/13/2020,30700,19.12
3/14/2020,30600,19.12
3/15/2020,30600,16.81
3/16/2020,30600,16.81
3/17/2020,30200,16.81
3/18/2020,30000,16.81
3/19/2020,30300,16.81
3/20/2020,30100,16.81
3/21/2020,30700,16.81
3/22/2020,30700,16.81
3/23/2020,30600,16.81
3/24/2020,30700,16.81
3/25/2020,30900,16.81
3/26/2020,30900,16.81
3/27/2020,30500,16.81
3/28/2020,29800,16.81
3/29/2020,29800,16.81
3/30/2020,29800,16.81
3/31/2020,29800,16.81
4/1/2020,29500,16.81
4/2/2020,29200,16.81
4/3/2020,29800,16.81
4/4/2020,29700,16.81
4/5/2020,29700,16.81
4/6/2020,29800,16.81
4/7/2020,29800,16.81
4/8/2020,30000,16.81
4/9/2020,29900,16.81
4/10/2020,29700,16.81
4/11/2020,29900,16.81
4/12/2020,29900,16.81
4/13/2020,29900,16.81
4/14/2020,29900,16.81
4/15/2020,29400,16.81
4/16/2020,30000,16.81
4/17/2020,30100,16.81
4/18/2020,29800,16.81
4/19/2020,29800,16.81
4/20/2020,29900,16.81
4/21/2020,29700,16.81
4/22/2020,29300,16.81
4/23/2020,29300,16.81
4/24/2020,29200,16.81
4/25/2020,29300,16.81
4/26/2020,29300,16.81
4/27/2020,29500,16.81
4/28/2020,29600,16.81
4/29/2020,30200,16.81
4/30/2020,30300,16.81
5/1/2020,30500,16.81
5/2/2020,30700,16.81
5/3/2020,30700,16.81
5/4/2020,30900,16.81
5/5/2020,30700,16.81
5/6/2020,30900,16.81
5/7/2020,31000,16.81
5/8/2020,30700,16.81
5/9/2020,30700,16.81
5/10/2020,30700,16.81
5/11/2020,30750,16.81
5/12/2020,31000,16.81
5/13/2020,30600,16.81
5/14/2020,30700,16.81
5/15/2020,30900,16.81
5/16/2020,31100,16.81
5/17/2020,31100,16.81
5/18/2020,31100,16.81
5/19/2020,31200,16.81
5/20/2020,31200,16.81
