name,area,price
Ca phe voi nhan xo,Dak Lak,33000.0
Ca phe voi nhan xo,Dak Lak,32900.0
Ca phe voi nhan xo,Dak Lak,32400.0
Ca phe voi nhan xo,Dak Lak,32600.0
Ca phe voi nhan xo,Dak Lak,32600.0
Ca phe voi nhan xo,Dak Lak,32600.0
Ca phe voi nhan xo,Dak Lak,32600.0
Ca phe voi nhan xo,Dak Lak,32600.0
Ca phe voi nhan xo,Dak Lak,32500.0
Ca phe voi nhan xo,Dak Lak,33100.0
Ca phe voi nhan xo,Dak Lak,33000.0
Ca phe voi nhan xo,Dak Lak,33000.0
Ca phe voi nhan xo,Dak Lak,33000.0
Ca phe voi nhan xo,Dak Lak,33000.0
Ca phe voi nhan xo,Dak Lak,33000.0
Ca phe voi nhan xo,Dak Lak,33700.0
Ca phe voi nhan xo,Dak Lak,33700.0
Ca phe voi nhan xo,Dak Lak,34500.0
Ca phe voi nhan xo,Dak Lak,34500.0
Ca phe voi nhan xo,Dak Lak,34500.0
Ca phe voi nhan xo,Dak Lak,33600.0
Ca phe voi nhan xo,Dak Lak,33300.0
Ca phe voi nhan xo,Dak Lak,34100.0
Ca phe voi nhan xo,Dak Lak,33500.0
Ca phe voi nhan xo,Dak Lak,33350.0
Ca phe voi nhan xo,Dak Lak,33350.0
Ca phe voi nhan xo,Dak Lak,33350.0
Ca phe voi nhan xo,Dak Lak,32900.0
Ca phe voi nhan xo,Dak Lak,33500.0
Ca phe voi nhan xo,Dak Lak,33500.0
Ca phe voi nhan xo,Dak Lak,33500.0
Ca phe voi nhan xo,Dak Lak,31600.0
Ca phe voi nhan xo,Dak Lak,31600.0
Ca phe voi nhan xo,Dak Lak,31600.0
Ca phe voi nhan xo,Dak Lak,31500.0
Ca phe voi nhan xo,Dak Lak,31600.0
Ca phe voi nhan xo,Dak Lak,31700.0
Ca phe voi nhan xo,Dak Lak,31500.0
Ca phe voi nhan xo,Dak Lak,32000.0
Ca phe voi nhan xo,Dak Lak,32000.0
Ca phe voi nhan xo,Dak Lak,32000.0
Ca phe voi nhan xo,Dak Lak,33000.0
Ca phe voi nhan xo,Dak Lak,33150.0
Ca phe voi nhan xo,Dak Lak,33300.0
Ca phe voi nhan xo,Dak Lak,33000.0
Ca phe voi nhan xo,Dak Lak,33100.0
Ca phe voi nhan xo,Dak Lak,33100.0
Ca phe voi nhan xo,Dak Lak,33100.0
Ca phe voi nhan xo,Dak Lak,33500.0
Ca phe voi nhan xo,Dak Lak,33400.0
Ca phe voi nhan xo,Dak Lak,33600.0
Ca phe voi nhan xo,Dak Lak,33800.0
Ca phe voi nhan xo,Dak Lak,32850.0
Ca phe voi nhan xo,Dak Lak,32850.0
Ca phe voi nhan xo,Dak Lak,32850.0
Ca phe voi nhan xo,Dak Lak,33000.0
Ca phe voi nhan xo,Dak Lak,33100.0
Ca phe voi nhan xo,Dak Lak,33000.0
Ca phe voi nhan xo,Dak Lak,33700.0
Ca phe voi nhan xo,Dak Lak,33300.0
Ca phe voi nhan xo,Dak Lak,33300.0
Ca phe voi nhan xo,Dak Lak,33300.0
Ca phe voi nhan xo,Dak Lak,33700.0
Ca phe voi nhan xo,Dak Lak,34000.0
Ca phe voi nhan xo,Dak Lak,33250.0
Ca phe voi nhan xo,Dak Lak,33500.0
Ca phe voi nhan xo,Dak Lak,33600.0
Ca phe voi nhan xo,Dak Lak,33600.0
Ca phe voi nhan xo,Dak Lak,33600.0
Ca phe voi nhan xo,Dak Lak,34550.0
Ca phe voi nhan xo,Dak Lak,33000.0
Ca phe voi nhan xo,Dak Lak,34000.0
Ca phe voi nhan xo,Dak Lak,33500.0
Ca phe voi nhan xo,Dak Lak,34600.0
Ca phe voi nhan xo,Dak Lak,34600.0
Ca phe voi nhan xo,Dak Lak,34600.0
Ca phe voi nhan xo,Dak Lak,34600.0
Ca phe voi nhan xo,Dak Lak,35200.0
Ca phe voi nhan xo,Dak Lak,36000.0
Ca phe voi nhan xo,Dak Lak,36300.0
Ca phe voi nhan xo,Dak Lak,36600.0
Ca phe voi nhan xo,Dak Lak,36600.0
Ca phe voi nhan xo,Dak Lak,36600.0
Ca phe voi nhan xo,Dak Lak,36500.0
Ca phe voi nhan xo,Dak Lak,36400.0
Ca phe voi nhan xo,Dak Lak,36500.0
Ca phe voi nhan xo,Dak Lak,36500.0
Ca phe voi nhan xo,Dak Lak,36700.0
Ca phe voi nhan xo,Dak Lak,36700.0
Ca phe voi nhan xo,Dak Lak,36700.0
Ca phe voi nhan xo,Dak Lak,36700.0
Ca phe voi nhan xo,Dak Lak,37500.0
Ca phe voi nhan xo,Dak Lak,38200.0
Ca phe voi nhan xo,Dak Lak,38000.0
Ca phe voi nhan xo,Dak Lak,38000.0
Ca phe voi nhan xo,Dak Lak,38000.0
Ca phe voi nhan xo,Dak Lak,38000.0
Ca phe voi nhan xo,Dak Lak,37200.0
Ca phe voi nhan xo,Dak Lak,34500.0
Ca phe voi nhan xo,Dak Lak,34500.0
Ca phe voi nhan xo,Dak Lak,34500.0
Ca phe voi nhan xo,Dak Lak,34700.0
Ca phe voi nhan xo,Dak Lak,34700.0
Ca phe voi nhan xo,Dak Lak,34700.0
