date,price,area,productivity,quantity
2011-01-06,8000,235.5,75.1,1768.8
2011-01-10,8250,235.5,75.1,1768.8
2011-01-11,9250,235.5,75.1,1768.8
2011-01-12,9250,235.5,75.1,1768.8
2011-01-13,9250,235.5,75.1,1768.8
2011-01-14,9250,235.5,75.1,1768.8
2011-01-18,9250,235.5,75.1,1768.8
2011-01-19,9250,235.5,75.1,1768.8
2011-01-20,9250,235.5,75.1,1768.8
2011-01-21,9000,235.5,75.1,1768.8
2011-01-24,9000,235.5,75.1,1768.8
2011-01-25,9500,235.5,75.1,1768.8
2011-01-26,9500,235.5,75.1,1768.8
2011-02-08,10000,235.5,75.1,1768.8
2011-02-09,10000,235.5,75.1,1768.8
2011-02-11,9500,235.5,75.1,1768.8
2011-02-15,9500,235.5,75.1,1768.8
2011-02-16,9500,235.5,75.1,1768.8
2011-02-17,9500,235.5,75.1,1768.8
2011-02-18,9500,235.5,75.1,1768.8
2011-02-21,9500,235.5,75.1,1768.8
2011-02-23,9500,235.5,75.1,1768.8
2011-02-25,9500,235.5,75.1,1768.8
2011-02-28,9500,235.5,75.1,1768.8
2011-03-01,9500,235.5,75.1,1768.8
2011-03-02,9500,235.5,75.1,1768.8
2011-03-03,9500,235.5,75.1,1768.8
2011-03-04,9500,235.5,75.1,1768.8
2011-03-07,9500,235.5,75.1,1768.8
2011-03-09,9500,235.5,75.1,1768.8
2011-03-11,9500,235.5,75.1,1768.8
2011-03-14,9500,235.5,75.1,1768.8
2011-03-15,9500,235.5,75.1,1768.8
2011-03-16,10000,235.5,75.1,1768.8
2011-03-17,10000,235.5,75.1,1768.8
2011-03-18,10000,235.5,75.1,1768.8
2011-03-21,10000,235.5,75.1,1768.8
2011-03-23,10000,235.5,75.1,1768.8
2011-03-24,10000,235.5,75.1,1768.8
2011-03-25,10000,235.5,75.1,1768.8
2011-03-28,10000,235.5,75.1,1768.8
2011-03-29,10000,235.5,75.1,1768.8
2011-03-30,9500,235.5,75.1,1768.8
2011-03-31,10000,235.5,75.1,1768.8
2011-04-01,9750,235.5,75.1,1768.8
2011-04-04,10000,235.5,75.1,1768.8
2011-04-05,10000,235.5,75.1,1768.8
2011-04-06,10000,235.5,75.1,1768.8
2011-04-07,10000,235.5,75.1,1768.8
2011-04-08,10000,235.5,75.1,1768.8
2011-04-09,10100,235.5,75.1,1768.8
2011-04-13,10100,235.5,75.1,1768.8
2011-04-14,10100,235.5,75.1,1768.8
2011-04-15,10100,235.5,75.1,1768.8
2011-04-18,10100,235.5,75.1,1768.8
2011-04-19,10000,235.5,75.1,1768.8
2011-04-20,10000,235.5,75.1,1768.8
2011-04-21,10000,235.5,75.1,1768.8
2011-04-22,10000,235.5,75.1,1768.8
2011-04-25,10250,235.5,75.1,1768.8
2011-04-26,10800,235.5,75.1,1768.8
2011-04-27,11000,235.5,75.1,1768.8
2011-04-28,11000,235.5,75.1,1768.8
2011-04-29,11000,235.5,75.1,1768.8
2011-05-04,11000,235.5,75.1,1768.8
2011-05-05,11000,235.5,75.1,1768.8
2011-05-09,11000,235.5,75.1,1768.8
2011-05-10,11000,235.5,75.1,1768.8
2011-05-11,11000,235.5,75.1,1768.8
2011-05-12,11000,235.5,75.1,1768.8
2011-05-13,11000,235.5,75.1,1768.8
2011-05-18,11000,235.5,75.1,1768.8
2011-05-19,11000,235.5,75.1,1768.8
2011-05-20,11000,235.5,75.1,1768.8
2011-05-23,11000,235.5,75.1,1768.8
2011-05-24,11000,235.5,75.1,1768.8
2011-05-26,11000,235.5,75.1,1768.8
2011-05-27,10500,235.5,75.1,1768.8
2011-05-30,10500,235.5,75.1,1768.8
2011-05-31,10500,235.5,75.1,1768.8
2011-06-01,10500,235.5,75.1,1768.8
2011-06-02,10500,235.5,75.1,1768.8
2011-06-03,10500,235.5,75.1,1768.8
2011-06-06,10500,235.5,75.1,1768.8
2011-06-07,10500,235.5,75.1,1768.8
2011-06-08,10000,235.5,75.1,1768.8
2011-06-09,10000,235.5,75.1,1768.8
2011-06-10,10000,235.5,75.1,1768.8
2011-06-13,10000,235.5,75.1,1768.8
2011-06-14,10000,235.5,75.1,1768.8
2011-06-15,10000,235.5,75.1,1768.8
2011-06-16,10000,235.5,75.1,1768.8
2011-06-17,10000,235.5,75.1,1768.8
2011-06-20,10000,235.5,75.1,1768.8
2011-06-21,10000,235.5,75.1,1768.8
2011-06-22,10000,235.5,75.1,1768.8
2011-06-23,10000,235.5,75.1,1768.8
2011-06-24,10000,235.5,75.1,1768.8
2011-06-27,10000,235.5,75.1,1768.8
2011-06-28,10000,235.5,75.1,1768.8
2011-06-29,10000,235.5,75.1,1768.8
2011-07-01,10000,235.5,75.1,1768.8
2011-07-04,10000,235.5,75.1,1768.8
2011-07-05,10000,235.5,75.1,1768.8
2011-07-06,10000,235.5,75.1,1768.8
2011-07-07,10000,235.5,75.1,1768.8
2011-07-08,10000,235.5,75.1,1768.8
2011-07-11,10000,235.5,75.1,1768.8
2011-07-13,10000,235.5,75.1,1768.8
2011-07-14,10000,235.5,75.1,1768.8
2011-07-15,10000,235.5,75.1,1768.8
2011-07-18,10000,235.5,75.1,1768.8
2011-07-19,10000,235.5,75.1,1768.8
2011-07-21,10000,235.5,75.1,1768.8
2011-07-22,10000,235.5,75.1,1768.8
2011-07-25,10000,235.5,75.1,1768.8
2011-07-26,10500,235.5,75.1,1768.8
2011-07-27,10500,235.5,75.1,1768.8
2011-07-28,10500,235.5,75.1,1768.8
2011-07-29,10500,235.5,75.1,1768.8
2011-08-01,11000,235.5,75.1,1768.8
2011-08-02,11000,235.5,75.1,1768.8
2011-08-03,11000,235.5,75.1,1768.8
2011-08-04,10500,235.5,75.1,1768.8
2011-08-08,10500,235.5,75.1,1768.8
2011-08-09,10500,235.5,75.1,1768.8
2011-08-10,10500,235.5,75.1,1768.8
2011-08-11,11000,235.5,75.1,1768.8
2011-08-12,11000,235.5,75.1,1768.8
