date,price,area,productivity,quantity,RON 95-III
9/5/2019,10500,233.7,71,1659.3,20.23
9/6/2019,10500,233.7,71,1659.3,20.23
9/7/2019,10500,233.7,71,1659.3,20.23
9/8/2019,10500,233.7,71,1659.3,20.23
9/9/2019,10500,233.7,71,1659.3,20.23
9/10/2019,10500,233.7,71,1659.3,20.23
9/11/2019,10500,233.7,71,1659.3,20.23
9/12/2019,10500,233.7,71,1659.3,20.23
9/13/2019,10500,233.7,71,1659.3,20.23
9/14/2019,10500,233.7,71,1659.3,20.23
9/15/2019,10500,233.7,71,1659.3,20.23
9/16/2019,10500,233.7,71,1659.3,20.14
9/17/2019,10500,233.7,71,1659.3,20.14
9/18/2019,10500,233.7,71,1659.3,20.14
9/19/2019,10500,233.7,71,1659.3,20.14
9/20/2019,10500,233.7,71,1659.3,20.14
9/21/2019,10500,233.7,71,1659.3,20.14
9/22/2019,10500,233.7,71,1659.3,20.14
9/23/2019,10500,233.7,71,1659.3,20.14
9/24/2019,10500,233.7,71,1659.3,20.14
9/25/2019,10500,233.7,71,1659.3,20.14
9/26/2019,10500,233.7,71,1659.3,20.14
9/27/2019,10500,233.7,71,1659.3,20.14
9/28/2019,10500,233.7,71,1659.3,20.14
9/29/2019,10500,233.7,71,1659.3,20.14
9/30/2019,10500,233.7,71,1659.3,20.14
10/1/2019,11000,233.7,71,1659.3,21.06
10/2/2019,11000,233.7,71,1659.3,21.06
10/3/2019,11000,233.7,71,1659.3,21.06
10/4/2019,11000,233.7,71,1659.3,21.06
10/5/2019,11000,233.7,71,1659.3,21.06
10/6/2019,11000,233.7,71,1659.3,21.06
10/7/2019,11000,233.7,71,1659.3,21.06
10/8/2019,11000,233.7,71,1659.3,21.06
10/9/2019,11000,233.7,71,1659.3,21.06
10/10/2019,11000,233.7,71,1659.3,21.06
10/11/2019,11000,233.7,71,1659.3,21.06
10/12/2019,11000,233.7,71,1659.3,21.06
10/13/2019,11000,233.7,71,1659.3,21.06
10/14/2019,11000,233.7,71,1659.3,21.06
10/15/2019,11000,233.7,71,1659.3,21.06
10/16/2019,11000,233.7,71,1659.3,20.79
10/17/2019,11000,233.7,71,1659.3,20.79
10/18/2019,11000,233.7,71,1659.3,20.79
10/19/2019,11000,233.7,71,1659.3,20.79
10/20/2019,11000,233.7,71,1659.3,20.79
10/21/2019,11000,233.7,71,1659.3,20.79
10/22/2019,11000,233.7,71,1659.3,20.79
10/23/2019,11000,233.7,71,1659.3,20.79
10/24/2019,11000,233.7,71,1659.3,20.79
10/25/2019,11000,233.7,71,1659.3,20.79
10/26/2019,11000,233.7,71,1659.3,20.79
10/27/2019,11000,233.7,71,1659.3,20.79
10/28/2019,11000,233.7,71,1659.3,20.79
10/29/2019,11000,233.7,71,1659.3,20.79
10/30/2019,11000,233.7,71,1659.3,20.79
10/31/2019,11000,233.7,71,1659.3,20.44
11/1/2019,11000,233.7,71,1659.3,20.44
11/2/2019,11000,233.7,71,1659.3,20.44
11/3/2019,11000,233.7,71,1659.3,20.44
11/4/2019,11000,233.7,71,1659.3,20.44
11/5/2019,11000,233.7,71,1659.3,20.44
11/6/2019,11000,233.7,71,1659.3,20.44
11/7/2019,11000,233.7,71,1659.3,20.44
11/8/2019,11000,233.7,71,1659.3,20.44
11/9/2019,11000,233.7,71,1659.3,20.44
11/10/2019,11000,233.7,71,1659.3,20.44
11/11/2019,11000,233.7,71,1659.3,20.44
11/12/2019,11000,233.7,71,1659.3,20.44
11/13/2019,11000,233.7,71,1659.3,20.44
11/14/2019,11000,233.7,71,1659.3,20.44
11/15/2019,11000,233.7,71,1659.3,20.79
11/16/2019,11000,233.7,71,1659.3,20.79
11/17/2019,11000,233.7,71,1659.3,20.79
11/18/2019,11000,233.7,71,1659.3,20.79
11/19/2019,11000,233.7,71,1659.3,20.79
11/20/2019,11000,233.7,71,1659.3,20.79
11/21/2019,11000,233.7,71,1659.3,20.79
11/22/2019,11000,233.7,71,1659.3,20.79
11/23/2019,11000,233.7,71,1659.3,20.79
11/24/2019,11000,233.7,71,1659.3,20.79
11/25/2019,11000,233.7,71,1659.3,20.79
11/26/2019,11000,233.7,71,1659.3,20.79
11/27/2019,11000,233.7,71,1659.3,20.79
11/28/2019,11000,233.7,71,1659.3,20.79
11/29/2019,11000,233.7,71,1659.3,20.79
11/30/2019,11000,233.7,71,1659.3,21.07
12/1/2019,11000,233.7,71,1659.3,21.07
12/2/2019,11000,233.7,71,1659.3,21.07
12/3/2019,11000,233.7,71,1659.3,21.07
12/4/2019,11000,233.7,71,1659.3,21.07
12/5/2019,11000,233.7,71,1659.3,21.07
12/6/2019,11000,233.7,71,1659.3,21.07
12/7/2019,11000,233.7,71,1659.3,21.07
12/8/2019,11000,233.7,71,1659.3,21.07
12/9/2019,11000,233.7,71,1659.3,21.07
